DN,Y
1,43.8257568717
2,43.8357568717
3,43.8457568717
4,43.8557568717
5,43.8157568717
6,43.8257568717
7,43.8357568717
8,43.8457568717
9,43.8557568717
10,43.8657568717
11,43.7957568717
12,43.8057568717
13,43.8157568717
14,43.8257568717
15,43.8357568717
16,43.8457568717
17,43.8557568717
18,43.8657568717
19,43.8757568717
20,43.7757568717
21,43.7857568717
22,43.7957568717
23,43.8057568717
24,43.8157568717
25,43.8257568717
26,43.8357568717
27,43.8457568717
28,43.8557568717
29,43.8657568717
30,43.8757568717
31,43.8857568717
32,43.7557568717
33,43.7657568717
34,43.7757568717
35,43.7857568717
36,43.7957568717
37,43.8057568717
38,43.8157568717
39,43.8257568717
40,43.8357568717
41,43.8457568717
42,43.8557568717
43,43.8657568717
44,43.8757568717
45,43.8857568717
46,43.7357568717
47,43.7457568717
48,43.7557568717
49,43.7657568717
50,43.7757568717
51,43.7857568717
52,43.7957568717
53,43.8057568717
54,43.8157568717
55,43.8257568717
56,43.8357568717
57,43.8457568717
58,43.8557568717
59,43.8657568717
60,43.8757568717
61,43.8857568717
62,43.8957568717
63,43.7157568717
64,43.7257568717
65,43.7357568717
66,43.7457568717
67,43.7557568717
68,43.7657568717
69,43.7757568717
70,43.7857568717
71,43.7957568717
72,43.8057568717
73,43.8157568717
74,43.8257568717
75,43.8357568717
76,43.8457568717
77,43.8557568717
78,43.8657568717
79,43.8757568717
80,43.8857568717
81,43.8957568717
82,43.9057568717
83,43.7057568717
84,43.7157568717
85,43.7257568717
86,43.7357568717
87,43.7457568717
88,43.7557568717
89,43.7657568717
90,43.7757568717
91,43.7857568717
92,43.7957568717
93,43.8057568717
94,43.8157568717
95,43.8257568717
96,43.8357568717
97,43.8457568717
98,43.8557568717
99,43.8657568717
100,43.8757568717
101,43.8857568717
102,43.8957568717
103,43.9057568717
104,43.9157568717
105,43.6857568717
106,43.6957568717
107,43.7057568717
108,43.7157568717
109,43.7257568717
110,43.7357568717
111,43.7457568717
112,43.7557568717
113,43.7657568717
114,43.7757568717
115,43.7857568717
116,43.7957568717
117,43.8057568717
118,43.8157568717
119,43.8257568717
120,43.8357568717
121,43.8457568717
122,43.8557568717
123,43.8657568717
124,43.8757568717
125,43.8857568717
126,43.8957568717
127,43.9057568717
128,43.9157568717
129,43.9257568717
130,43.6657568717
131,43.6757568717
132,43.6857568717
133,43.6957568717
134,43.7057568717
135,43.7157568717
136,43.7257568717
137,43.7357568717
138,43.7457568717
139,43.7557568717
140,43.7657568717
141,43.7757568717
142,43.7857568717
143,43.7957568717
144,43.8057568717
145,43.8157568717
146,43.8257568717
147,43.8357568717
148,43.8457568717
149,43.8557568717
150,43.8657568717
151,43.8757568717
152,43.8857568717
153,43.8957568717
154,43.9057568717
155,43.9157568717
156,43.9257568717
157,43.9357568717
158,43.6457568717
159,43.6557568717
160,43.6657568717
161,43.6757568717
162,43.6857568717
163,43.6957568717
164,43.7057568717
165,43.7157568717
166,43.7257568717
167,43.7357568717
168,43.7457568717
169,43.7557568717
170,43.7657568717
171,43.7757568717
172,43.7857568717
173,43.7957568717
174,43.8057568717
175,43.8157568717
176,43.8257568717
177,43.8357568717
178,43.8457568717
179,43.8557568717
180,43.8657568717
181,43.8757568717
182,43.8857568717
183,43.8957568717
184,43.9057568717
