DN,toy_altit
1,
2,
3,
4,
5,
6,
7,
8,721.0
9,615.0
10,
11,
12,
13,528.0
14,535.0
15,582.0
16,662.0
17,642.0
18,537.0
19,
20,
21,
22,677.0
23,608.0
24,579.0
25,586.0
26,605.0
27,710.0
28,669.0
29,566.0
30,565.0
31,
32,
33,
34,
35,659.0
36,703.0
37,693.0
38,663.0
39,690.0
40,678.0
41,714.0
42,684.0
43,647.0
44,575.0
45,
46,
47,
48,
49,
50,615.0
51,610.0
52,666.0
53,719.0
54,693.0
55,682.0
56,686.0
57,708.0
58,708.0
59,704.0
60,573.0
61,644.0
62,
63,
64,
65,
66,
67,528.0
68,547.0
69,580.0
70,600.0
71,629.0
72,691.0
73,653.0
74,689.0
75,679.0
76,722.0
77,723.0
78,734.0
79,605.0
80,608.0
81,714.0
82,
83,
84,
85,513.0
86,551.0
87,540.0
88,579.0
89,595.0
90,654.0
91,647.0
92,685.0
93,655.0
94,630.0
95,653.0
96,656.0
97,716.0
98,780.0
99,778.0
100,646.0
101,689.0
102,779.0
103,648.0
104,561.0
105,
106,
107,480.0
108,518.0
109,534.0
110,547.0
111,588.0
112,621.0
113,600.0
114,612.0
115,580.0
116,623.0
117,627.0
118,605.0
119,676.0
120,708.0
121,744.0
122,815.0
123,799.0
124,731.0
125,799.0
126,768.0
127,640.0
128,556.0
129,
130,
131,
132,
133,465.0
134,483.0
135,498.0
136,576.0
137,571.0
138,616.0
139,648.0
140,579.0
141,568.0
142,600.0
143,609.0
144,609.0
145,666.0
146,680.0
147,737.0
148,802.0
149,806.0
150,810.0
151,778.0
152,733.0
153,681.0
154,625.0
155,553.0
156,496.0
157,
158,
159,
160,
161,450.0
162,446.0
163,474.0
164,464.0
165,464.0
166,566.0
167,634.0
168,609.0
169,624.0
170,548.0
171,631.0
172,676.0
173,680.0
174,672.0
175,710.0
176,751.0
177,785.0
178,772.0
179,751.0
180,745.0
181,720.0
182,615.0
183,603.0
184,635.0
185,533.0
186,487.0
187,
188,
189,
190,
191,
192,
193,486.0
194,477.0
195,485.0
196,480.0
197,456.0
198,495.0
199,624.0
200,620.0
201,598.0
202,585.0
203,552.0
204,627.0
205,642.0
206,650.0
207,672.0
208,706.0
209,739.0
210,738.0
211,660.0
212,672.0
213,642.0
214,781.0
215,647.0
216,561.0
217,554.0
218,525.0
219,486.0
220,515.0
221,
222,
223,
224,
225,537.0
226,540.0
227,520.0
228,526.0
229,521.0
230,538.0
231,512.0
232,459.0
233,443.0
234,483.0
235,554.0
236,570.0
237,545.0
238,548.0
239,527.0
240,562.0
241,695.0
242,721.0
243,663.0
244,586.0
245,579.0
246,549.0
247,551.0
248,610.0
249,634.0
250,744.0
251,661.0
252,602.0
253,532.0
254,497.0
255,493.0
256,514.0
257,561.0
258,703.0
259,
260,
261,581.0
262,550.0
263,552.0
264,541.0
265,515.0
266,506.0
267,548.0
268,596.0
269,514.0
270,446.0
271,450.0
272,527.0
273,502.0
274,524.0
275,511.0
276,554.0
277,559.0
278,640.0
279,641.0
280,614.0
281,552.0
282,508.0
283,544.0
284,629.0
285,735.0
286,716.0
287,761.0
288,596.0
289,547.0
290,506.0
291,483.0
292,493.0
293,522.0
294,548.0
295,661.0
296,865.0
297,
298,
299,
300,551.0
301,557.0
302,544.0
303,542.0
304,525.0
305,521.0
306,548.0
307,559.0
308,579.0
309,547.0
310,471.0
311,458.0
312,519.0
313,480.0
314,496.0
315,504.0
316,489.0
317,497.0
318,529.0
319,583.0
320,560.0
321,504.0
322,521.0
323,569.0
324,686.0
325,786.0
326,752.0
327,750.0
